,time,open,high,low,close,tick_volume,spread,real_volume,data,M9,M20,M200,ADX
136,1636948500,1.1458599999999999,1.1459,1.1458599999999999,1.1459,7,5,0,2021-11-15 03:55:00,1.145802222222223,1.1456600000000003,,23.952380705388567
137,1636948560,1.1459,1.14597,1.14589,1.14594,12,5,0,2021-11-15 03:56:00,1.1458333333333341,1.1456775000000003,,25.403658198096146
138,1636948620,1.14594,1.14594,1.1458599999999999,1.14589,9,5,0,2021-11-15 03:57:00,1.1458555555555563,1.1456945000000005,,26.24378716028133
139,1636948680,1.1459,1.14594,1.1459,1.14594,9,6,0,2021-11-15 03:58:00,1.1458766666666673,1.1457135000000005,,27.023906910881855
140,1636948740,1.14595,1.14597,1.14594,1.14595,8,5,0,2021-11-15 03:59:00,1.1458944444444452,1.1457345000000003,,27.99079333484866
141,1636948800,1.14594,1.14595,1.14589,1.14589,11,6,0,2021-11-15 04:00:00,1.145892222222223,1.1457515000000005,,28.001063414838423
142,1636948860,1.1459,1.1459,1.14582,1.14589,33,5,0,2021-11-15 04:01:00,1.1458955555555561,1.1457700000000004,,26.93420275768478
143,1636948920,1.14589,1.14593,1.14585,1.14593,20,5,0,2021-11-15 04:02:00,1.1459100000000007,1.1457910000000004,,26.263253776154894
144,1636948980,1.14592,1.14592,1.14585,1.1458599999999999,13,5,0,2021-11-15 04:03:00,1.1459100000000007,1.1458095000000004,,25.64022972187714
145,1636949040,1.14587,1.14587,1.1457600000000001,1.1457600000000001,17,5,0,2021-11-15 04:04:00,1.1458944444444452,1.1458230000000005,,23.831345352959488
146,1636949100,1.14577,1.14591,1.14577,1.14591,18,6,0,2021-11-15 04:05:00,1.145891111111112,1.1458390000000005,,22.592251935389744
147,1636949160,1.14591,1.14596,1.14589,1.14595,20,6,0,2021-11-15 04:06:00,1.1458977777777788,1.1458565000000003,,22.000213505863023
148,1636949220,1.14596,1.14599,1.14595,1.14595,12,5,0,2021-11-15 04:07:00,1.14589888888889,1.1458710000000003,,21.764239559652612
149,1636949280,1.14596,1.14596,1.14594,1.14595,7,5,0,2021-11-15 04:08:00,1.14589888888889,1.1458840000000001,,21.391927364811785
150,1636949340,1.14595,1.14595,1.14583,1.14584,25,5,0,2021-11-15 04:09:00,1.1458933333333343,1.1458885000000003,,20.1494451202826
151,1636949400,1.14584,1.14589,1.14579,1.1458599999999999,28,5,0,2021-11-15 04:10:00,1.145890000000001,1.1458920000000001,,19.438590395113874
152,1636949460,1.14585,1.14589,1.14585,1.14588,7,6,0,2021-11-15 04:11:00,1.1458844444444454,1.1458905000000001,,18.7785110074572
153,1636949520,1.14589,1.14589,1.14585,1.1458599999999999,9,5,0,2021-11-15 04:12:00,1.1458844444444454,1.1458905000000001,,18.16558014749029
154,1636949580,1.14585,1.14592,1.14585,1.14589,11,5,0,2021-11-15 04:13:00,1.1458988888888897,1.145895,,17.147397530563573
155,1636949640,1.14593,1.14593,1.1457600000000001,1.1457600000000001,10,5,0,2021-11-15 04:14:00,1.1458822222222231,1.14589,,17.270066119499997
156,1636949700,1.14575,1.14581,1.14575,1.14581,11,6,0,2021-11-15 04:15:00,1.1458666666666677,1.1458855000000001,,17.48991922688369
157,1636949760,1.14582,1.14582,1.14579,1.14579,3,7,0,2021-11-15 04:16:00,1.14584888888889,1.1458780000000002,,17.528096920019383
158,1636949820,1.14579,1.1458,1.14575,1.14575,7,5,0,2021-11-15 04:17:00,1.1458266666666677,1.145871,,18.01314884428038
159,1636949880,1.14574,1.14577,1.14574,1.14577,6,5,0,2021-11-15 04:18:00,1.14581888888889,1.1458625000000002,,18.57304282732959
160,1636949940,1.1457600000000001,1.14577,1.14574,1.14575,7,5,0,2021-11-15 04:19:00,1.1458066666666678,1.1458525000000002,,19.09294438301814
161,1636950000,1.1457600000000001,1.14589,1.1457600000000001,1.14588,16,5,0,2021-11-15 04:20:00,1.1458066666666678,1.145852,,17.859331362984143
162,1636950060,1.14588,1.1459,1.14588,1.14589,4,6,0,2021-11-15 04:21:00,1.145810000000001,1.145852,,16.849544367651177
163,1636950120,1.14589,1.1459,1.14588,1.14588,4,7,0,2021-11-15 04:22:00,1.14580888888889,1.1458495,,15.911885014841996
164,1636950180,1.14589,1.14589,1.14585,1.1458599999999999,9,5,0,2021-11-15 04:23:00,1.145820000000001,1.1458495,,14.976816979406763
165,1636950240,1.1458599999999999,1.14587,1.1458599999999999,1.1458599999999999,3,7,0,2021-11-15 04:24:00,1.1458255555555563,1.1458545,,14.10853951793119
166,1636950300,1.14588,1.14589,1.1458599999999999,1.14589,4,6,0,2021-11-15 04:25:00,1.1458366666666673,1.1458534999999999,,13.24085406485755
167,1636950360,1.14589,1.1459,1.14581,1.14581,8,5,0,2021-11-15 04:26:00,1.1458433333333342,1.1458465,,12.9654374542327
168,1636950420,1.14581,1.14583,1.14581,1.14583,5,5,0,2021-11-15 04:27:00,1.1458500000000007,1.1458405,,12.709693458652485
169,1636950480,1.14582,1.14587,1.14582,1.1458599999999999,7,6,0,2021-11-15 04:28:00,1.145862222222223,1.145836,,11.86268068071483
170,1636950540,1.14588,1.14589,1.14584,1.14589,13,5,0,2021-11-15 04:29:00,1.1458633333333341,1.1458385000000002,,11.415916933309054
171,1636950600,1.1458599999999999,1.14588,1.14584,1.1458599999999999,8,6,0,2021-11-15 04:30:00,1.145860000000001,1.1458385000000002,,11.00106488214655
172,1636950660,1.1458599999999999,1.14587,1.14584,1.1458599999999999,13,5,0,2021-11-15 04:31:00,1.1458577777777788,1.1458375,,10.615845120352798
173,1636950720,1.1458599999999999,1.14597,1.1458599999999999,1.14597,11,5,0,2021-11-15 04:32:00,1.1458700000000013,1.145843,,11.812405421537923
174,1636950780,1.14596,1.14597,1.14592,1.14592,6,5,0,2021-11-15 04:33:00,1.1458766666666678,1.1458445,,12.923497129781252
175,1636950840,1.14593,1.146,1.14592,1.146,13,5,0,2021-11-15 04:34:00,1.1458888888888898,1.1458565,,14.340440363972634
176,1636950900,1.146,1.14606,1.146,1.14606,8,5,0,2021-11-15 04:35:00,1.1459166666666676,1.1458689999999998,,16.31836169915156
177,1636950960,1.14605,1.14607,1.14605,1.14605,5,6,0,2021-11-15 04:36:00,1.1459411111111122,1.1458819999999998,,18.254995678697373
178,1636951020,1.14606,1.14612,1.14595,1.14596,22,5,0,2021-11-15 04:37:00,1.1459522222222234,1.1458924999999998,,17.938790141983596
179,1636951080,1.14596,1.146,1.14596,1.14599,4,6,0,2021-11-15 04:38:00,1.1459633333333346,1.1459034999999997,,17.645170715035086
180,1636951140,1.146,1.146,1.14596,1.14597,11,5,0,2021-11-15 04:39:00,1.1459755555555566,1.1459144999999997,,17.372524104297185
181,1636951200,1.14596,1.14597,1.14595,1.14595,8,6,0,2021-11-15 04:40:00,1.1459855555555565,1.1459179999999995,,16.915029863517965
182,1636951260,1.14595,1.14595,1.14591,1.14594,11,5,0,2021-11-15 04:41:00,1.1459822222222231,1.1459204999999995,,15.715986535011037
183,1636951320,1.14595,1.14595,1.14582,1.14582,12,5,0,2021-11-15 04:42:00,1.145971111111112,1.1459174999999995,,15.953037785410476
184,1636951380,1.14583,1.14583,1.14577,1.14579,13,5,0,2021-11-15 04:43:00,1.1459477777777787,1.1459139999999997,,16.76732632723683
185,1636951440,1.14579,1.14579,1.1457600000000001,1.14579,9,5,0,2021-11-15 04:44:00,1.1459177777777787,1.1459104999999998,,17.63579228133612
186,1636951500,1.14578,1.14578,1.1457600000000001,1.14577,4,6,0,2021-11-15 04:45:00,1.1458866666666676,1.1459044999999997,,18.442224952999744
187,1636951560,1.14579,1.14581,1.1457600000000001,1.1457600000000001,9,5,0,2021-11-15 04:46:00,1.1458644444444452,1.1459019999999995,,18.545978419913272
188,1636951620,1.14577,1.14577,1.14572,1.14572,16,5,0,2021-11-15 04:47:00,1.1458344444444455,1.1458964999999997,,19.16523832438852
189,1636951680,1.14572,1.14574,1.14572,1.14574,4,8,0,2021-11-15 04:48:00,1.1458088888888898,1.1458904999999997,,19.740265378544102
190,1636951740,1.14575,1.14575,1.14568,1.14569,11,5,0,2021-11-15 04:49:00,1.1457800000000011,1.1458804999999994,,20.77244709995958
